Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-192.58194,78.06836,-131.01335,-345.5572,97.2,-212.92169,94.29138,-48.904526,-377.61694,89.25,-6.364266872406006,1071,1.406806468963623,-212.92169,0
-107.07774,51.190487,-59.301125,-203.62611,86.0,-180.62158,86.48275,-87.04376,-333.30975,87.5,-7.84810733795166,2121,2.612994909286499,,1
-99.65316,48.77954,-8.440971,-153.5473,81.16666666666667,-148.17682,31.053642,-97.65067,-206.37445,84.08333333333333,-8.570052146911621,3130,3.6188104152679443,,2
-170.77377,89.46754,-103.633194,-336.36993,82.0,-149.93756,79.87391,-79.76936,-389.84677,83.33333333333333,-6.005234718322754,4130,4.565537214279175,,3
-177.20825,92.677246,-63.118034,-297.997,75.83333333333333,-176.56529,74.61975,-41.601227,-318.26758,92.0,-5.040247917175293,5142,5.585434436798096,,4
-290.593,102.43551,-120.32019,-421.2086,86.4,-166.0349,82.81869,3.8308563,-273.69904,77.15384615384616,-13.149007797241211,6145,6.666163921356201,,5
-198.36913,104.88445,-110.69931,-391.05008,72.83333333333333,-299.20892,69.44042,-165.92447,-399.8785,81.15384615384616,-10.94410228729248,7200,7.734323024749756,,6
-189.8167,69.00646,-114.56654,-314.29724,87.4,-242.58015,72.3308,-122.432175,-405.75067,81.07692307692308,-8.13473892211914,8254,8.775122880935669,,7
-174.28493,92.99863,-85.76617,-365.34882,79.5,-168.07553,75.081406,-98.12194,-357.39093,77.15384615384616,-6.848240375518799,9257,9.827585220336914,,8
-128.98682,36.353065,-94.25962,-196.31287,85.0,-155.8598,89.94273,34.520447,-324.80682,84.91666666666667,-4.525022029876709,10276,10.820266246795654,,9
-154.33774,57.376537,-99.794754,-261.79816,98.8,-148.14986,79.35022,23.817314,-287.44672,85.5,-6.622699737548828,11302,11.870144128799438,,10
-146.49654,67.35876,-59.13733,-255.62775,95.6,-124.99287,71.17136,-49.950047,-250.64062,98.54545454545455,-9.402381896972656,12386,12.954792022705078,,11
-134.60019,30.209139,-92.04947,-175.83429,79.83333333333333,-124.53111,54.95244,-76.42346,-288.78445,77.07692307692308,-4.8390302658081055,13388,13.990180492401123,,12
-103.79222,58.745518,-19.421692,-183.77356,95.0,-127.704254,59.061985,-56.044,-220.88544,84.83333333333333,-7.706579208374023,14406,15.0514976978302,,13
-161.13924,71.00197,-100.85509,-284.53027,97.0,-117.3686,40.29711,-47.818947,-184.75056,87.16666666666667,-4.8679280281066895,15452,16.07126808166504,,14
-116.9541,12.074372,-100.353806,-131.42905,89.6,-131.124,51.368504,-29.63028,-201.23007,100.8,-8.824060440063477,16460,17.0543429851532,,15
-97.6713,65.06355,3.0125961,-200.60555,85.0,-124.43305,99.01724,-12.128132,-325.90222,96.0,-4.9477972984313965,17516,18.0445876121521,,16
-151.27266,39.374268,-102.63499,-220.42245,101.0,-118.2198,33.53956,-72.40015,-170.14099,94.0,-5.958355903625488,18550,19.06898522377014,,17
-102.17104,27.292595,-57.168907,-136.38159,71.66666666666667,-175.45569,95.76051,-81.32787,-398.77002,83.5,-5.5234599113464355,19552,20.019980669021606,,18
