Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-163.94643,93.4553,-0.86279297,-390.2625,95.22727272727273,-198.5522,118.08334,-75.12724,-431.6456,87.56521739130434,-49.221744537353516,15775.3818359375,2014,4.635436296463013,-198.5522,0
-160.0605,100.81276,-31.547935,-414.26724,89.78260869565217,-157.35835,90.87504,7.160797,-347.7669,88.21739130434783,-37.77641677856445,9832.5576171875,4043,9.120177507400513,,1
-155.84953,87.87234,-15.716698,-417.01004,84.33333333333333,-122.81144,47.89317,-68.593155,-266.63412,88.3913043478261,-29.25284194946289,5412.77978515625,6076,13.24502158164978,,2
-167.64877,83.186905,-46.804146,-345.20154,89.34782608695652,-152.19835,104.027405,33.114197,-440.13507,87.04166666666667,-34.93513870239258,9804.55859375,8165,17.400668144226074,,3
-139.88205,81.23977,-35.295128,-318.82684,95.95238095238095,-152.88315,98.90217,-17.897697,-466.61325,98.0,-30.427898406982422,8212.5732421875,10223,21.460785388946533,,4
-153.82906,78.18975,-46.675327,-345.2592,104.7,-217.58109,134.47101,-16.536186,-478.55084,109.94736842105263,-40.23358917236328,15109.9169921875,12312,25.605363607406616,,5
-185.74039,97.51018,-61.68427,-366.08975,110.78947368421052,-129.7154,68.1294,-28.784088,-348.64337,105.2,-23.06867790222168,4744.85302734375,14416,29.975173234939575,,6
-160.14299,123.91973,2.5517426,-482.88446,108.36842105263158,-132.922,86.01065,-35.84911,-419.10822,98.0952380952381,-25.197599411010742,6813.24072265625,16476,34.13713836669922,,7
-142.19266,98.165215,-30.557991,-457.2695,103.9,-145.92665,70.638885,-21.800766,-339.80978,108.89473684210526,-25.00249671936035,6611.60107421875,18545,38.204216957092285,,8
-137.04285,74.257256,-56.899017,-337.09378,123.17647058823529,-130.74577,85.81748,-5.619728,-334.68338,107.1,-21.677804946899414,5172.6083984375,20687,42.41841197013855,,9
-142.56696,91.46397,-31.900045,-370.37457,125.625,-121.793365,55.146202,-43.64692,-273.86566,114.66666666666667,-18.004867553710938,3584.452880859375,22751,46.407885789871216,,10
-107.59687,67.63947,-37.5481,-306.95114,145.28571428571428,-115.191826,81.48327,7.5908556,-300.8781,139.26666666666668,-12.571636199951172,3105.818115234375,24840,50.34614419937134,,11
-113.08188,115.97672,52.453583,-316.00534,156.84615384615384,-151.97212,132.09923,-23.552866,-459.81506,131.375,-19.579082489013672,7900.81982421875,26942,54.338216066360474,,12
-156.35924,107.19831,24.507492,-305.0425,146.0,-149.17749,112.8076,-26.898895,-388.26343,130.6875,-18.520505905151367,5623.61328125,29033,58.35421967506409,,13
-45.65145,47.40001,47.283264,-114.60378,227.0,-170.53879,76.852135,-48.39561,-301.5516,173.66666666666666,-15.201354026794434,4157.70068359375,31117,62.87133979797363,,14
-188.60771,96.21589,-35.41371,-392.95667,172.5,-97.825035,84.32743,11.18404,-296.07077,137.93333333333334,-9.52841567993164,2753.200439453125,33186,66.85401320457458,,15
-115.922935,92.20894,18.487755,-304.61487,171.0,-166.67618,108.45993,-31.42485,-326.88174,147.71428571428572,-15.454405784606934,6608.609375,35254,70.79638028144836,,16
-123.64062,110.975586,32.94394,-305.96695,201.76923076923077,-117.24447,90.34432,16.971497,-275.2814,182.91666666666666,-8.126326560974121,2349.630126953125,37449,76.00813865661621,,17
-150.29518,113.961334,-13.866936,-324.56516,203.45454545454547,-102.26779,115.351746,43.823772,-285.2248,158.23076923076923,-6.590390682220459,4200.00830078125,39506,80.02050161361694,,18
-62.433228,28.403353,-34.714024,-109.00519,447.5,-57.5768,69.301094,13.74057,-245.36438,158.3846153846154,-1.4888962507247925,1426.584228515625,41565,85.1199734210968,,19
-81.01445,86.339005,37.180878,-236.22076,175.25,-129.16408,100.900894,-2.038597,-352.35266,161.0,-10.047438621520996,3752.695556640625,43658,89.0455379486084,,20
-50.54183,38.431038,-11.370552,-167.53505,145.07142857142858,-72.75844,51.132065,-8.829044,-177.11546,171.66666666666666,-3.544259548187256,1692.9658203125,45718,92.93007755279541,,21
-84.22633,105.338745,39.3447,-285.41907,145.5,-61.03837,56.142017,20.087914,-201.46173,133.4,-3.2455155849456787,1788.6480712890625,47719,96.69485402107239,,22
-85.10678,74.487076,4.1397476,-252.12137,191.72727272727272,-28.704586,34.635303,30.954712,-86.63037,253.44444444444446,2.192470073699951,1436.7882080078125,50000,101.25144076347351,,23
-53.49567,42.61401,35.87732,-122.55638,169.08333333333334,-43.43619,41.038567,20.323685,-122.18993,161.92307692307693,-0.36292576789855957,1163.0982666015625,52105,104.98542332649231,,24
-59.539223,54.531166,-3.5522232,-169.08685,403.7142857142857,-51.574223,43.983097,13.794754,-135.37831,264.0,1.2601275444030762,1029.409912109375,54217,111.66813683509827,,25
-58.63612,71.5946,23.985664,-245.24591,220.8,-87.01734,89.122314,2.0000973,-240.70258,252.1,-2.126455545425415,2315.909912109375,56738,116.75168704986572,,26
-77.42947,75.66045,18.028572,-207.40204,200.8,-72.66303,71.47774,28.810974,-223.45206,375.14285714285717,1.4532732963562012,1396.3240966796875,59364,122.11779880523682,,27
-44.207447,23.904503,-3.5838013,-75.56585,346.3333333333333,-13.863565,28.139734,28.690529,-52.733227,509.6,3.1910080909729004,673.3170166015625,61912,128.16834545135498,,28
-16.007961,41.204628,58.250595,-65.04597,507.8,-30.72083,28.738483,12.105232,-68.97167,359.3333333333333,2.6302778720855713,828.6425170898438,64068,134.11929631233215,,29
-34.95187,62.010666,42.752617,-190.25447,190.9090909090909,-33.831573,50.12843,22.351665,-139.02983,212.8,1.6574053764343262,1466.32177734375,66196,138.16903042793274,,30
-21.003325,25.769136,24.561768,-62.72541,190.0,-28.744244,33.045067,9.124817,-89.22766,201.9090909090909,1.6926989555358887,802.77294921875,68417,142.08767414093018,,31
-32.35648,61.957962,26.524654,-151.12173,411.2,-31.189137,32.673897,13.1058235,-94.48877,185.63636363636363,1.775573492050171,808.9848022460938,70459,146.5145869255066,,32
-35.053802,41.03976,33.79863,-89.847626,267.8,-42.325657,88.949524,32.611145,-227.39578,348.0,1.5627760887145996,1654.900146484375,72547,152.54918718338013,,33
0.35124534,20.91235,44.85225,-29.112244,425.14285714285717,-41.197983,63.344776,17.708305,-203.38834,262.0,1.6629137992858887,1270.1597900390625,75167,159.85238695144653,,34
-55.555023,58.896492,-0.5899582,-164.76923,455.8333333333333,19.114964,24.602692,47.577225,-12.447166,713.0,4.217876434326172,832.89990234375,77306,168.0172507762909,,35
-49.499573,65.73047,-8.712265,-195.37418,393.0,16.428288,36.60627,53.25306,-54.18752,288.42857142857144,4.642672538757324,1457.6221923828125,79325,173.20258045196533,,36
-47.923813,55.766228,19.813484,-114.268555,415.6,-70.95884,104.38533,18.641308,-285.26517,348.8333333333333,0.39278873801231384,1127.9495849609375,81418,178.41441869735718,,37
-45.523453,61.66892,39.99501,-156.59747,266.22222222222223,-38.98283,45.843754,35.596405,-100.32122,213.7,0.6805435419082642,1215.237060546875,83555,182.9216492176056,,38
1.2973703,33.0993,37.33829,-57.216137,316.7142857142857,-18.534937,59.47137,80.64485,-130.04451,390.42857142857144,2.3383307456970215,1404.0614013671875,86288,188.8414328098297,,39
-60.481445,75.16338,28.97955,-218.51614,283.5,-37.163635,37.82007,19.466646,-92.15415,304.7142857142857,1.0016498565673828,707.511474609375,88421,194.0944197177887,,40
-4.880424,40.877808,52.676094,-72.594315,335.8333333333333,-24.274515,32.695763,42.796356,-53.84909,290.85714285714283,2.332073926925659,1055.314453125,90457,198.92638087272644,,41
-73.263756,50.84907,-1.3863525,-111.11861,677.3333333333334,-52.21202,47.458286,-13.671614,-130.52094,517.75,0.7702438235282898,870.05615234375,92528,204.30471324920654,,42
-113.07783,87.36405,27.445763,-208.97534,595.5,-27.64585,83.42757,89.1111,-129.13814,434.0,1.871606469154358,1032.0791015625,94698,210.65374517440796,,43
-51.72428,45.133667,-7.035879,-124.82858,595.75,-118.76709,128.03911,26.034065,-286.94846,446.4,-1.3975825309753418,1848.381103515625,96930,216.61794567108154,,44
