Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-180.85342,112.47432,-46.716686,-509.69272,93.13636363636364,-196.33026,99.49157,-40.977013,-399.26273,92.27272727272727,-144.82704162597656,2030,4.628038167953491,-196.33026,0
-185.96135,107.96793,4.769249,-480.53418,85.70833333333333,-199.9206,121.0661,-16.559296,-470.40598,91.54545454545455,-151.788818359375,4044,9.135390758514404,,1
-194.51102,113.59939,-74.06308,-449.3436,82.16,-136.20872,80.36459,-0.14654541,-431.07767,82.6,-108.07328796386719,6109,13.370664358139038,,2
-161.23778,74.40516,-46.162983,-350.55322,84.45833333333333,-194.79079,110.19019,-25.492546,-409.16507,83.75,-146.6486358642578,8119,17.590131282806396,,3
-127.73589,46.055332,-32.58838,-279.84705,83.58333333333333,-125.07314,72.332825,94.031906,-273.8947,117.95833333333333,-66.361328125,10950,23.090850114822388,,4
-134.57552,36.52548,-83.014,-215.79121,81.08,-155.81647,62.630283,-87.38886,-348.25235,79.6923076923077,-115.66717529296875,13022,27.30474066734314,,5
-120.49807,43.89736,-15.558952,-246.62874,85.08333333333333,-123.56371,44.60551,-5.6075745,-233.4727,82.4,-89.07316589355469,15082,31.603745222091675,,6
-133.09726,59.105236,-42.381775,-289.87805,80.44,-149.9065,64.36808,-93.634254,-327.6737,84.08333333333333,-118.0190200805664,17100,35.76366353034973,,7
-138.4066,67.81938,-61.517353,-384.28183,81.64,-144.5751,61.817677,-38.64868,-314.03632,83.875,-111.39825439453125,19113,39.98551273345947,,8
-110.401505,37.721195,0.16228485,-177.87334,76.03703703703704,-133.50104,44.3352,-29.388046,-279.8534,83.41666666666667,-101.70811462402344,21115,44.19138717651367,,9
-130.2797,31.01586,-73.99596,-197.264,78.88461538461539,-140.85567,78.628876,-25.185501,-341.37283,84.66666666666667,-107.98246765136719,23147,48.31661653518677,,10
-154.09447,72.75182,-36.699753,-374.7431,81.72,-149.71959,52.74508,-80.68306,-345.1511,80.16,-117.40605926513672,25151,52.49966263771057,,11
