Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-193.29181,103.221344,17.817024,-388.54102,93.45454545454545,-178.73317,100.85257,16.254402,-404.13983,89.47826086956522,-129.63742065429688,2058,2.3879129886627197,-178.73317,0
-194.82376,100.04842,-22.92421,-388.13028,96.04761904761905,-207.5561,94.44692,-72.30984,-399.90768,92.13636363636364,-155.24069213867188,4085,4.667377233505249,,1
-136.9049,70.60319,-2.85701,-320.08347,83.96,-130.75478,71.05109,-22.059685,-380.75168,89.08695652173913,-107.56180572509766,6134,6.76313853263855,,2
-132.35857,84.90055,100.07939,-326.22656,121.33333333333333,-132.94057,88.08043,-28.106743,-429.24768,76.55555555555556,-109.35283660888672,8201,9.43912649154663,,3
-130.63324,38.928513,-68.358665,-236.71095,88.6086956521739,-125.760315,54.235428,-8.135254,-308.67673,89.26086956521739,-91.24696350097656,10254,11.50471043586731,,4
-140.85912,82.040565,-19.753632,-413.40668,91.34782608695652,-153.58875,77.63879,-68.66597,-384.30792,89.82608695652173,-116.2138671875,12320,13.615047454833984,,5
-129.57915,48.85917,-83.30434,-298.8835,80.96,-145.28444,72.64731,-63.308018,-331.9085,86.54166666666667,-118.5381088256836,14397,15.684810638427734,,6
-137.749,52.07987,5.7162704,-303.15826,78.07692307692308,-147.90462,70.739395,-6.043335,-302.7683,87.0,-112.56779479980469,16398,17.710469007492065,,7
-126.20896,39.550415,-47.36776,-243.2695,88.30434782608695,-131.3274,55.30331,-78.82453,-348.79733,78.3076923076923,-107.50425720214844,18434,19.739006757736206,,8
-107.9223,35.490257,12.224579,-162.25798,84.75,-129.05688,55.11735,-60.593353,-347.23737,87.08695652173913,-102.2872543334961,20437,21.734955310821533,,9
-118.4984,43.80692,-66.75422,-217.90318,80.0,-131.51917,64.83878,19.338348,-318.64673,87.30434782608695,-96.68152618408203,22445,23.734638690948486,,10
-129.95724,66.53171,23.587608,-400.73117,84.04,-149.605,86.49884,28.440887,-371.55286,88.65217391304348,-118.69884490966797,24484,25.82019305229187,,11
-149.8846,48.34227,-68.258705,-274.56555,83.88,-131.65366,45.391396,-4.235817,-214.74362,83.24,-99.60519409179688,26565,27.919639587402344,,12
-128.71529,65.439186,16.9719,-295.87097,83.52,-137.94537,58.396114,-30.542648,-271.2115,85.95833333333333,-103.23311614990234,28628,30.014426231384277,,13
