Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-172.14642,113.6152,4.77948,-430.01614,92.63636363636364,-174.26266,86.904396,-56.997612,-489.6658,89.21739130434783,-130.9330291748047,4104,6.668083429336548,-174.26266,0
-182.1153,119.2187,25.00193,-568.131,83.41666666666667,-191.82701,102.678696,-74.803635,-487.86798,90.15555555555555,-143.17501831054688,8161,12.496221542358398,,1
-173.84778,119.1149,33.62323,-460.77374,84.75,-185.56067,103.729485,22.914413,-392.42194,86.29787234042553,-143.2185821533203,12217,18.256778240203857,,2
-151.58101,81.56392,21.127048,-359.58746,87.52173913043478,-161.19789,91.81497,16.412003,-401.74203,87.19565217391305,-123.9349594116211,16228,23.88848090171814,,3
-151.84404,84.91191,-0.7640686,-355.12256,84.58333333333333,-153.84947,86.4738,-11.972603,-461.41364,84.25,-118.76879119873047,20272,29.509016513824463,,4
-125.88132,67.767044,41.93628,-331.86163,78.57692307692308,-139.53648,67.85569,-11.169792,-310.54218,80.88,-108.19397735595703,24316,35.259135484695435,,5
-163.82658,109.947266,102.35794,-363.989,155.07692307692307,-128.37433,58.898823,4.02388,-362.09277,83.58333333333333,-99.00243377685547,28328,41.49332118034363,,6
-146.38722,72.2763,-60.01316,-298.37756,81.4,-145.05135,63.005253,10.234787,-294.78976,85.38297872340425,-110.93233489990234,32341,47.60688591003418,,7
-147.31305,94.570335,2.9251022,-380.45703,80.36,-137.77498,71.27751,24.336578,-328.44824,84.89583333333333,-104.05816650390625,36416,53.56454348564148,,8
-124.50996,50.250175,-12.214394,-224.05048,84.29166666666667,-136.85747,69.629776,24.922926,-328.42816,79.84313725490196,-108.01160430908203,40488,59.36401891708374,,9
-141.37846,67.74197,-39.268726,-301.92722,88.73913043478261,-132.59686,44.787575,-39.022346,-278.28552,79.50980392156863,-103.61321258544922,44543,65.02928638458252,,10
-131.07655,51.66523,-34.210083,-255.94623,86.0,-132.83067,53.264786,-11.49295,-303.20822,82.83673469387755,-102.3132553100586,48602,70.57933688163757,,11
-122.06481,45.28203,-31.517105,-281.07147,83.45833333333333,-123.42367,49.07017,42.18782,-239.38095,82.73469387755102,-96.77603912353516,52656,75.97172522544861,,12
-130.09604,63.71878,-80.16661,-360.3112,82.56,-123.69083,43.129078,-62.8969,-326.156,80.08,-100.08992004394531,56660,81.3073468208313,,13
-120.532364,45.68712,-47.160244,-282.34207,80.04,-135.59595,65.306366,1.9652176,-326.2889,87.76086956521739,-103.05665588378906,60697,86.74900078773499,,14
-118.088905,33.790165,-57.082405,-199.18494,86.54166666666667,-125.13468,50.770496,-39.481106,-338.29312,83.41666666666667,-95.50023651123047,64701,92.34943413734436,,15
-120.47179,55.68852,-25.184746,-309.891,88.95652173913044,-124.56381,59.12975,27.73143,-312.48663,88.91111111111111,-92.14985656738281,68702,97.86376810073853,,16
-119.054375,59.33674,-57.179073,-381.6562,79.53846153846153,-116.03877,48.826786,43.328217,-267.48682,87.12765957446808,-90.00438690185547,72797,103.4784255027771,,17
-111.94358,33.03243,-54.128036,-191.66637,87.6086956521739,-119.86825,46.14716,81.68542,-236.38953,117.22857142857143,-72.22985076904297,76900,109.4817476272583,,18
-115.774315,43.098873,-32.149025,-266.9745,88.1304347826087,-117.83788,65.37976,13.958038,-368.40466,90.84444444444445,-91.36033630371094,80988,115.17029166221619,,19
-116.03375,55.374123,-56.343468,-303.5655,83.68,-109.981926,50.050507,7.761116,-252.14796,87.28260869565217,-81.29318237304688,85003,120.78943967819214,,20
-101.58057,79.278915,40.88855,-336.609,89.47826086956522,-112.26361,51.502224,-3.3352432,-320.0249,88.82608695652173,-81.82393646240234,89089,126.43794989585876,,21
-142.30623,72.55551,-4.319828,-275.51447,97.61904761904762,-124.004456,59.920906,-40.30437,-388.68805,88.84782608695652,-88.58391571044922,93176,132.0876660346985,,22
-121.47903,51.082157,37.8544,-202.28645,90.0,-125.605606,75.564316,106.12807,-344.1009,112.38888888888889,-73.22686767578125,97222,138.31567525863647,,23
-114.51844,46.63068,-55.155205,-239.49797,97.38095238095238,-104.028534,54.820602,32.98394,-331.46384,87.8695652173913,-79.33325958251953,101264,143.90241599082947,,24
-113.54562,47.396507,-38.32866,-206.20003,90.56521739130434,-119.09871,45.874958,-26.126862,-240.43063,89.95555555555555,-89.60712432861328,105312,149.60027480125427,,25
-105.95393,58.949024,19.219719,-271.81937,92.9090909090909,-107.457466,57.536083,17.476837,-314.01346,89.3695652173913,-81.13593292236328,109423,155.23294067382812,,26
-90.951706,35.9153,-41.270645,-215.75024,89.56521739130434,-109.21647,57.99192,5.826996,-325.36377,96.57142857142857,-79.20501708984375,113479,160.91832733154297,,27
