Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-146.9766,87.97288,31.629421,-354.1842,88.82608695652173,-180.36086,84.34363,-69.33148,-353.37964,90.56521739130434,-132.07296752929688,2083,2.530200719833374,-180.36086,0
-196.34305,109.14769,-85.33647,-446.55716,87.78260869565217,-182.66718,98.015236,-68.651985,-433.97205,93.68181818181819,-127.97340393066406,4144,4.89317774772644,,1
-145.37672,75.33465,-36.07435,-372.0893,87.08695652173913,-164.01038,99.81466,-10.257996,-356.91754,89.73913043478261,-117.89151000976562,6208,6.983261585235596,,2
-165.0438,73.9476,-55.88056,-350.31064,82.88,-162.6447,105.25254,-11.686958,-478.42456,93.22727272727273,-111.79480743408203,8259,9.124094724655151,,3
-119.06177,61.214344,-25.888832,-285.23828,87.29166666666667,-161.24556,77.90507,-46.05834,-355.07187,91.56521739130434,-111.03910827636719,10365,11.289634704589844,,4
-147.13705,94.96704,26.698772,-422.97217,89.3913043478261,-163.12927,109.58431,32.625366,-503.20914,91.9090909090909,-112.48711395263672,12387,13.410667181015015,,5
-163.21779,96.90439,-26.480515,-410.8231,92.63636363636364,-137.531,103.11266,38.976913,-409.07278,84.91666666666667,-101.045654296875,14425,15.531792402267456,,6
-164.62129,100.29865,-71.64816,-500.01498,85.91666666666667,-158.68425,87.78815,5.300476,-397.15088,92.18181818181819,-105.62113189697266,16453,17.653839111328125,,7
-128.42195,53.76487,-14.929337,-251.65201,89.125,-148.9201,72.18893,-22.437794,-330.22086,86.41666666666667,-112.4650650024414,18527,19.811599731445312,,8
-125.361305,45.619133,-55.725193,-234.7784,82.08,-140.21939,53.67648,-74.80863,-269.79022,87.34782608695652,-100.39033508300781,20536,21.90677237510681,,9
-130.63437,40.511646,-81.51253,-220.37238,80.16,-130.35565,57.3927,17.587566,-341.01535,81.36,-92.3718032836914,22570,24.397358655929565,,10
-143.22395,48.684906,-78.51606,-276.92294,84.54166666666667,-148.70563,74.47995,33.79222,-315.40112,88.47826086956522,-103.4158706665039,24605,27.125107288360596,,11
-151.6182,81.506065,-38.74085,-346.23944,84.75,-155.65788,85.15592,45.54689,-398.37714,82.08,-114.5694580078125,26657,30.007959365844727,,12
-122.63421,59.34886,-1.3904343,-236.34525,91.22727272727273,-158.0732,59.193245,-73.758575,-292.79828,85.91666666666667,-115.01118469238281,28719,32.74106478691101,,13
-135.16678,40.59235,-85.16012,-255.07384,82.2,-165.60054,67.64998,-85.11675,-330.2409,86.45833333333333,-113.81049346923828,30794,35.63754630088806,,14
-124.80626,40.437057,-71.645325,-234.0409,81.12,-142.00606,51.044823,-73.851974,-303.65475,89.0,-93.80804443359375,32841,38.49429798126221,,15
-116.53941,60.552986,62.432938,-224.08997,87.65217391304348,-125.04809,32.347816,-50.496098,-196.17473,85.41666666666667,-86.62084197998047,34891,41.37923979759216,,16
-133.69127,49.860775,-36.812447,-283.3081,90.34782608695652,-135.04742,58.998543,-3.133728,-256.92303,82.8,-96.95687103271484,36961,44.32739734649658,,17
-152.56293,71.109764,-22.518852,-402.7901,88.43478260869566,-130.26587,40.601124,-36.731663,-207.77838,85.5,-93.99259948730469,39013,47.203328132629395,,18
-136.7686,55.391724,-79.52659,-338.27722,81.92,-140.71442,51.267097,-1.7238846,-283.30554,85.20833333333333,-97.64957427978516,41058,50.08908438682556,,19
-128.96637,47.512527,-32.974403,-278.1277,84.375,-141.75528,76.70723,-75.89462,-481.3946,82.6,-99.5870132446289,43123,52.967588663101196,,20
-120.909935,45.168514,-53.72293,-270.53287,86.95652173913044,-142.5258,69.554924,-67.47791,-374.0093,81.88,-103.91880798339844,45170,55.8372802734375,,21
-131.92961,50.275417,-46.2472,-271.5332,83.70833333333333,-144.45598,71.768295,-81.13502,-381.6257,79.53846153846153,-103.9688949584961,47238,58.714494705200195,,22
-131.43875,75.09324,45.369907,-348.03656,91.68181818181819,-130.10287,67.09072,9.256874,-261.21948,88.17391304347827,-89.62710571289062,49266,61.57154393196106,,23
-138.24554,73.80523,-22.396896,-402.6754,83.33333333333333,-114.74606,63.05105,12.312958,-277.46313,89.26086956521739,-80.15514373779297,51319,64.42342519760132,,24
-123.60413,53.07088,-48.333447,-277.63092,78.92307692307692,-134.6612,45.411926,-62.08863,-276.8047,88.82608695652173,-90.7174072265625,53362,67.18683338165283,,25
-145.24284,55.119194,-83.70743,-299.49683,80.44,-125.74834,54.51931,1.4084473,-280.21094,88.26086956521739,-85.80736541748047,55392,70.04865837097168,,26
-108.22778,43.92823,12.006081,-168.71295,84.625,-133.47513,57.82608,-64.54668,-320.92358,82.36,-94.12477111816406,57451,72.93786668777466,,27
-132.89812,69.511444,39.863525,-321.26602,84.625,-125.2699,54.817703,-23.837097,-314.5476,85.95833333333333,-85.10493469238281,59514,75.82050085067749,,28
-132.57437,70.68901,-32.596603,-313.87463,87.34782608695652,-102.03958,45.62869,45.188538,-168.40787,80.96,-73.51289367675781,61538,78.65804648399353,,29
-124.81456,33.40857,-59.731674,-187.61752,89.0,-109.411095,61.218998,-6.0487366,-337.6543,80.56,-79.32797241210938,63552,81.57863783836365,,30
-129.70529,46.659184,-48.354065,-212.20361,93.95454545454545,-127.41348,63.605766,-38.35877,-289.40955,83.32,-88.69066619873047,65635,84.53270483016968,,31
-113.97573,57.129017,0.2718048,-235.22849,89.82608695652173,-143.40149,50.084396,-77.04433,-302.3161,83.2,-102.74679565429688,67715,87.48413491249084,,32
-105.3725,65.68324,24.208458,-351.3286,81.8,-137.49016,55.21402,-57.073307,-277.28787,83.45833333333333,-92.7000503540039,69718,90.38221216201782,,33
-126.36878,48.854946,-69.981995,-244.9794,94.04545454545455,-130.54684,61.913532,-67.25853,-326.56146,87.91304347826087,-90.67825317382812,71740,93.31017136573792,,34
-106.218864,48.514503,14.879105,-201.52611,87.0,-105.021805,40.36838,-44.26571,-239.19527,88.04347826086956,-69.72218322753906,73765,96.22767877578735,,35
-123.2535,44.686424,-66.38718,-253.97704,91.30434782608695,-91.07038,46.80477,51.305283,-177.80473,92.22727272727273,-56.2321891784668,75794,99.16980600357056,,36
-105.25336,41.17885,-0.38827515,-205.05301,97.38095238095238,-107.36977,45.602913,-32.33557,-275.00897,87.6086956521739,-74.69385528564453,77809,101.88709235191345,,37
-100.248856,51.30326,-6.660614,-258.91058,88.69565217391305,-110.86035,54.415943,-19.899323,-260.4986,94.4090909090909,-71.17318725585938,79886,104.82425737380981,,38
-111.39303,61.23501,2.3328857,-277.93408,95.42857142857143,-116.855675,73.6559,21.246922,-294.4654,99.14285714285714,-70.48081970214844,81968,107.72189903259277,,39
-152.93327,109.26197,-15.903858,-532.0562,108.73684210526316,-128.6509,78.025375,-20.263512,-345.84018,94.81818181818181,-85.05802154541016,84054,110.68771386146545,,40
-131.90887,44.596886,-31.803268,-220.38237,102.6,-128.29532,80.729645,2.7903671,-356.23358,105.5,-75.87100982666016,86164,113.67205476760864,,41
-104.7676,45.9389,-25.900528,-186.50285,94.81818181818181,-106.06921,54.640385,33.131775,-266.19916,97.33333333333333,-70.08350372314453,88208,116.61621332168579,,42
-114.44466,40.58711,-71.68323,-215.49734,106.78947368421052,-115.983185,52.460968,43.147087,-192.58504,94.13636363636364,-78.60277557373047,90279,120.01774406433105,,43
-100.93028,35.402775,-48.158287,-165.17351,103.1,-116.67639,59.451252,-20.93827,-270.60852,102.75,-68.90611267089844,92334,123.58297443389893,,44
-116.97498,74.02716,-29.850494,-279.96756,119.88235294117646,-93.1968,41.30103,-41.12259,-192.42519,108.42105263157895,-52.78408432006836,94394,127.19962859153748,,45
-84.53803,58.0866,-22.35839,-273.40128,105.35,-106.472275,50.995914,-35.293518,-276.54126,119.6470588235294,-55.46866989135742,96428,130.87390875816345,,46
-107.082214,45.796074,3.2665672,-180.97656,121.6470588235294,-86.37285,70.18122,11.904103,-306.24216,100.9,-52.43513870239258,98446,134.48863172531128,,47
-113.18487,83.93494,14.776971,-337.08746,113.0,-143.01595,70.58303,-67.67368,-350.05157,126.375,-71.54073333740234,100468,138.07759881019592,,48
-103.49823,51.471233,-49.132923,-272.59357,114.83333333333333,-87.54326,39.16996,9.087632,-170.54587,111.21052631578948,-45.10232162475586,102581,141.79814338684082,,49
-104.453514,54.01968,-6.4891186,-211.5646,106.84210526315789,-84.7031,46.037403,26.358177,-188.30591,111.16666666666667,-49.298377990722656,104582,145.37334561347961,,50
-87.74969,35.29396,-26.889755,-167.99823,115.88888888888889,-82.996056,43.7631,-1.539505,-196.65501,96.52380952380952,-48.942623138427734,106609,149.0191535949707,,51
-97.77455,45.780663,-39.448334,-196.36533,108.36842105263158,-77.139915,57.129574,21.106598,-254.27972,120.0,-39.385841369628906,108649,152.65846014022827,,52
-91.51375,73.66701,-10.322731,-336.41534,111.66666666666667,-85.58906,36.52576,-30.817581,-141.82584,106.84210526315789,-47.53236770629883,110679,156.26859283447266,,53
-103.59188,73.20075,-31.33361,-366.1457,114.61111111111111,-67.42764,44.738785,-16.68695,-172.80205,106.63157894736842,-34.12773132324219,112705,159.92520308494568,,54
-92.05481,40.047626,-4.1004257,-152.86276,125.1875,-98.892075,70.59014,5.552925,-308.6178,116.5,-46.71266174316406,114802,163.56586837768555,,55
-92.444016,73.08693,6.3245277,-323.54138,119.11764705882354,-77.65509,41.644825,-10.436946,-194.69547,114.11111111111111,-41.351863861083984,116856,167.18733263015747,,56
-95.214615,87.28097,-7.8187065,-380.20358,118.3529411764706,-88.33312,38.742844,12.014015,-152.69698,120.52941176470588,-43.596336364746094,118905,170.75059342384338,,57
-79.50794,34.015373,-36.5966,-151.42537,116.83333333333333,-90.722664,30.069399,-36.44988,-172.08508,114.72222222222223,-45.16424560546875,120970,174.29030561447144,,58
-66.42889,29.481466,-18.058167,-127.137856,121.6470588235294,-66.580734,28.929756,6.40541,-118.028114,129.75,-28.694704055786133,123046,177.90104818344116,,59
-68.90351,32.18691,-0.55033875,-126.933105,123.58823529411765,-83.84288,37.99079,-27.775719,-211.43024,113.44444444444444,-43.657955169677734,125088,181.5141477584839,,60
-81.069984,44.568787,-19.871887,-195.363,127.0,-91.18237,66.59797,-1.5931358,-271.0786,125.05882352941177,-41.115726470947266,127214,185.32640409469604,,61
-72.736946,44.02433,35.735596,-176.40062,113.11111111111111,-91.27318,83.97067,3.3545685,-331.39407,127.0625,-36.95405197143555,129247,188.79110407829285,,62
